+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Label                                                                                                                                                                                                                           | Pred                                                                                                                                                                                                 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  parallel  for                                                                                                                                                                                                                  | parallel for                                                                                                                                                                                         |
|  parallel for                                                                                                                                                                                                                   | parallel for                                                                                                                                                                                         |
|  parallel  for                                                                                                                                                                                                                  | parallel for                                                                                                                                                                                         |
|  parallel                                                                                                                                                                                                                       | parallel for                                                                                                                                                                                         |
|  parallel  for                                                                                                                                                                                                                  | parallel for                                                                                                                                                                                         |
|  parallel  for private ( end j )                                                                                                                                                                                                | parallel for private( i i )                                                                                                                                                                          |
|  parallel  for                                                                                                                                                                                                                  | parallel for                                                                                                                                                                                         |
|  parallel  for                                                                                                                                                                                                                  | parallel for                                                                                                                                                                                         |
|  parallel  for private ( i j k vxc )                                                                                                                                                                                            | parallel for private( i j k lxc v   _   )                                                                                                                                                            |
|  parallel  for                                                                                                                                                                                                                  | parallel for                                                                                                                                                                                         |
|  parallel  for                                                                                                                                                                                                                  | parallel for                                                                                                                                                                                         |
|  parallel                                                                                                                                                                                                                       | parallel for                                                                                                                                                                                         |
|  parallel  for                                                                                                                                                                                                                  | parallel for                                                                                                                                                                                         |
|  parallel  for                                                                                                                                                                                                                  | parallel for                                                                                                                                                                                         |
|  parallel for                                                                                                                                                                                                                   | parallel for                                                                                                                                                                                         |
|  parallel  for reduction ( + : sq1 sq12 sq2 )  private ( i )                                                                                                                                                                    | parallel for private( i ) reduction( + : sq1 sq2 )                                                                                                                                                   |
|  parallel  for                                                                                                                                                                                                                  | parallel for                                                                                                                                                                                         |
|  parallel  for private ( k )                                                                                                                                                                                                    | parallel for private( k )                                                                                                                                                                            |
|  parallel  for reduction ( + :  lap )  private ( i indr j sxx )                                                                                                                                                                 | parallel for private(  jr j ) reduction( + :  lap )                                                                                                                                                  |
